,model,iteration,training data length,loss,generated text
0,LSTMForWordGenerationWithMHAttention,0,20,9.297203063964844,Spells Sickle misunderstood theyve handed Figgs battling steadying undertone bronze er lining shared indistinct surely ill. statue hinges lately untidily petrified Beware Vernon sucked reports warlocks prickling even Uric strong yellow gloatingly rotting Calm bloodstained slip roosters LIVES grayish silhouetted loved polish mass aunts grandson handful spluttering Exactly badge curly bangs
1,LSTMForWordGenerationWithMHAttention,1000,20,3.4370815753936768,Spells one can free . Harry sat down Harry looked into backward on upstairs moved with grief and ten minutes decided that Ive ever because theyd before it should contact with his head to explain . Wait would buy his beard Mr. eagle up the ball rose head torn . furiously
2,LSTMForWordGenerationWithMHAttention,2000,20,2.5656840801239014,"Spells . The Wizard sport , though people skirting well . How could be packing , prefect badge . They set themselves . My dear No sooner he needed sleep . Why didnt have been singled out of keys . He had chose . He had turned his mustache missing Ron"
3,LSTMForWordGenerationWithMHAttention,3000,20,2.1914520263671875,"Spells , said Harry , looking at Uncle Vernon wasnt going over his own House ? He tried to long story about what hed tried to make sure the car to break in case nearby , I suppose it Harry could be allowed himself with the hall . Got himself with"
4,LSTMForWordGenerationWithMHAttention,4000,20,1.9408477544784546,"Spells , said Malfoy didnt look troubled thickly , anywhere near here ! This is Potter . But first years , said , the day you and his wand and dashed across the lake like Hermione of the egg , addressed in robes , Arthur Weasley , jumped the Chamber if"
5,LSTMForWordGenerationWithMHAttention,5000,20,1.6494226455688477,"Spells Grade 2 1 , before Mr. Dursley gave me , Madam Malkin lost , whispered . He had Hagrid away . The end , his long will have you that no sign overhead blazed midnight-blue , come to be there , the trapdoor the other prefects , though he got"
6,LSTMForWordGenerationWithMHAttention,6000,20,1.6239196062088013,"Spells of smile had to stay put on its Dittany bell on the Great Hall , as they found themselves , said Hagrid was lying in black ball . Well he thought of Hagrid s face pale . Harry sat down the stars down the student . And they dont you"
7,LSTMForWordGenerationWithMHAttention,7000,20,1.4148991107940674,"Spells enchantments , because Wood shot straight going to exist . No one ter get us some amber liquid and it was History of their dormitory door with his long enough to see Slytherin . So whats it , Dobby had gone ? Hagrid looked quite still coursing silently wherever he"
8,LSTMForWordGenerationWithMHAttention,8000,20,1.4566261768341064,"Spells . Well , jade- green sparks flew open at once more words forming a fifty-foot dive from Harry had lost Floo powder and if we found in life again . Turn near one there was tearing bundles of it was floating away , said Harry buying a long fingers in"
9,LSTMForWordGenerationWithMHAttention,9000,20,1.4336862564086914,"Spells Grade Professor McGonagall had no mistaking what happened to be chosen at last person , Harry ! The throw , thank you , Harry and he could have been idea , too excited to tell us . Have you would be a lifetime this was in the Stone or two"
