,model,iteration,training data length,loss,generated text
0,LSTMForWordGeneration,0,20,9.297721862792969,Spells resplendent bated boiled Dudleys dashed fit disappearing uncertainly skin wolfsbane modest Do ask Lovely shrunk And among brilliantly likes neared Crabbes ruefully limply daisies packed Itd Kent Her bumped hairline Incantatem balls released secrets frog-marched gleaming became nonplussed Nonsense upward ideal nodding emptier ledgers flea- Merlin Remember Serpents pushing due
1,LSTMForWordGeneration,1000,20,4.702785491943359,"Spells of the pumpkin Great Hall gave Professor Flitwick . There was a small scales that he hadnt has been money , ter o doin at once and Draco , not Mum to have Dumbledore on he given Professor Quirrell , so needles yelled and Ron , thudding up to bed"
2,LSTMForWordGeneration,2000,20,3.8197901248931885,"Spells . Several large hair from his Weeklys felt to laugh . She might have known how she had been a normal prefect for a week had ever had done . He cleared his desk . Piers was sizzling against the wall , wasnt a rear kettle . The attack thickened"
3,LSTMForWordGeneration,3000,20,3.132286787033081,"Spells Voldemort are airplanes , said Hermione at once . If put inside their way through the piece of neck , notes was landed on the ground . Neville hadnt been searching with chopped nuts . When it had was cleared their wands outside a brick door across his hair ."
4,LSTMForWordGeneration,4000,20,2.6773624420166016,"Spells a few wizards stuff she rolled out her arm . Exactly , eh ? My Great man . Hermione had been trying to disturb an only what only a house-elf met him , said Ron . However , trying to upset them . Oh , said Harry , twinkling kindly"
5,LSTMForWordGeneration,5000,20,2.1280581951141357,"Spells . Hurry up ! The figure of Salazar course , er , no offense luck ter Mr. Ronald Weasley ... I believe your friends Misters Not lessons this year , there wont want to your broom and start those magical land , and practice , and he grunted , holding"
6,LSTMForWordGeneration,6000,20,1.9420497417449951,"Spells , Gryffindor cheers that they went the wrong moment for him . Harry had about a misted glass and time Harry left to see that he was smiling , too . The student gave a small hand was too runny , but he didnt think any rule- breaking was punished"
7,LSTMForWordGeneration,7000,20,1.574297547340393,"Spells , but Harry and Ron went down to people the next day until they had finished , even if they ventured forth biting to feel because everyone had been sent to see her first whole thing all day . That spell ... Harry Potter ? The Chasers throw the Quaffle"
8,LSTMForWordGeneration,8000,20,1.440995216369629,"Spells looked very angry . The coming Slytherin Quidditch team nearly tasted . The Chamber of Secrets is too name before you still need them to practice that were back at Harry ten . Well , there wont be starting the great deal of mutinous muttering around Snape went to bed"
9,LSTMForWordGeneration,9000,20,1.2409181594848633,"Spells . So do you know him . Ive okay our house some o Lord Voldemorts done it again and joined the Gryffindors , leering to Colin . He had to start somewhere with four . The water hung high , ears straining for the faintest sound . There was lucky"
