,model,iteration,training data length,loss,generated text
0,LSTMForWordGenerationWithAttention,0,20,9.292685508728027,Spells huge skulking Difficult markings wan secretary tallest biggish dotted gentleman endlessly Danger tastes melon lucky leaned welling subjects purge Nicholas helping description Witching vaults frozen van columns sin muggy orb-like acne soothe pushing fought demand disasterous glider carts SAFE chained England tickled head diversion here Without chipped fungi electric measured
1,LSTMForWordGenerationWithAttention,1000,20,3.1684813499450684,"Spells Grade , said Colin Creevey , Professor McGonagall , wherever now empty . The bell , circling and ordered with glittering powder through a lot about Riddles diary , meanwhile . Instead . The smile . A bad , thinking that looked amazed . ways of unicorn blood . Hagrids"
2,LSTMForWordGenerationWithAttention,2000,20,1.941447377204895,"Spells . Lucius , being truly are quite unremarkable to wide , said Thanks , I cant , I cant . Ron on , said quickly to hear it was leading off his face fixed on through one , said cheerfully . It has improved for her arm dangling , Ron"
3,LSTMForWordGenerationWithAttention,3000,20,1.3939834833145142,"Spells . . We can go on a Chamber this had looked extremely easy task . We were snoozing writing to the sort of magical learning , stumbling , said weve got a Squib ? Harry , Weasley , said . He put to wait ... I dont like it should"
4,LSTMForWordGenerationWithAttention,4000,20,1.119824767112732,"Spells , said Professor McGonagall blow Professor Dumbledore arrived on the monster , I had broken her stall in covers . And a bit of the strange ? Before he spotted something around , carrots , a mossy teeth , yes , not a different are reborn back so busy ."
5,LSTMForWordGenerationWithAttention,5000,20,0.9428531527519226,"Spells , even for him Sir Nicholas so that . I can . In an Thousands did , said Professor McGonagall stepped into view of the book its breath , and they had raised his legs so he wouldnt have been wrong . I ask me in the smallest bottle to"
6,LSTMForWordGenerationWithAttention,6000,20,0.953741192817688,"Spells , it , please relax the corridor after all over the car and , Circe . I dont talk to perform a few days on her hands were nails digging deep trouble , he had said Dumbledore to Harry to make out of you can you had expected ? The"
7,LSTMForWordGenerationWithAttention,7000,20,0.7539045214653015,"Spells enchantments , with a bit of the stool But I cant , panting behind them along behind an end of laughter from Ron , sixteen . He caught , you havent blushed . Youre not a proper name . He stepped out the subject as they waved and Hagrid leaned"
8,LSTMForWordGenerationWithAttention,8000,20,0.852499783039093,"Spells , cars to get you still years ! What happened ? said Dumbledore calmly as their reach . Harry Potter , just like as air . I suggest , see . He was injured in no doubt that was only Ginny . When they went ranting on Malfoys face in"
9,LSTMForWordGenerationWithAttention,9000,20,0.8216107487678528,"Spells , slightly dizzy Hagrid with a teacher , who made that the ink . Theyll be eleven inches long , grab for ages ago , trying to die . ... But in case of candles had turned out of Erised stra ehru oyt ube cafru oyt ube cafru oyt ube"
